,,,,,,,,,,,,,,,,,
,Macro-economic Indicators - Weekly,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Period,Forward Premia of US$ 1-month (%),Forward Premia of US$ 3-month (%),Forward Premia of US$ 6-month (%),Reverse Repo Rate (%),Marginal Standing Facility (MSF) Rate (%),Bank Rate (%),Base Rate (%),91-Day Treasury Bill (Primary) Yield (%),182-Day Treasury Bill (Primary) Yield (%),364-Day Treasury Bill (Primary) Yield (%),10-Year G-Sec Yield (FBIL) (%),Cash Reserve Ratio (%),Statutory Liquidity Ratio (%),Policy Repo Rate (%),Standing Deposit Facility (SDF) Rate (%),"Foreign Exchange Reserves 
(US $ Million)"
,15-Dec-2017,3.84,4.09,4.46,5.75,6.25,6.25,8.85,6.15,6.31,6.36,7.29,4.00,19.50,6.00,-,"401,385.80"
,08-Dec-2017,3.72,3.94,4.39,5.75,6.25,6.25,8.85,6.15,6.27,6.25,7.27,4.00,19.50,6.00,-,"400,897.60"
,01-Dec-2017,4.28,4.10,4.52,5.75,6.25,6.25,8.85,6.15,6.25,6.28,7.25,4.00,19.50,6.00,-,"401,942.00"
,24-Nov-2017,4.26,4.08,4.39,5.75,6.25,6.25,8.95,6.11,6.20,6.29,7.21,4.00,19.50,6.00,-,"400,741.80"
,17-Nov-2017,4.44,4.38,4.53,5.75,6.25,6.25,8.95,6.11,6.18,6.29,7.22,4.00,19.50,6.00,-,"399,533.70"
,10-Nov-2017,4.43,4.46,4.55,5.75,6.25,6.25,8.95,6.11,6.18,6.25,7.12,4.00,19.50,6.00,-,"399,293.30"
,03-Nov-2017,4.46,4.46,4.52,5.75,6.25,6.25,8.95,6.11,6.18,6.25,7.12,4.00,19.50,6.00,-,"398,739.10"
,27-Oct-2017,4.52,4.36,4.36,5.75,6.25,6.25,8.95,6.11,6.18,6.22,7.00,4.00,19.50,6.00,-,"398,761.30"
,20-Oct-2017,4.61,4.30,4.36,5.75,6.25,6.25,8.95,6.11,6.18,6.22,6.95,4.00,19.50,6.00,-,"399,921.00"
,13-Oct-2017,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.07,6.18,6.22,6.91,4.00,20.00,6.00,-,"400,296.80"
