,,,,,,,,
,Reporting Date,NSE S&P CNX NIFTY,BSE BANKEX,REPO RATE (OVERNIGHT),REVERSE REPO RATE (OVERNIGHT),DAILY CALL MONEY RATE -HIGH,DAILY CALL MONEY RATE - LOW,RBI'S REFERENCE RATE: INR PER USD
,,Index,Index,Per cent,Per cent,Per cent,Per cent,Rupees
,31-Dec-2021,17354.05,40408.5,4,3.35,3.8,2.7,74.3025
,30-Dec-2021,17203.95,39866.49,4,3.35,3.6,2,74.5823
,29-Dec-2021,17213.6,39853.41,4,3.35,3.55,2,74.7375
,28-Dec-2021,17233.25,40026.93,4,3.35,3.75,2,74.8528
,27-Dec-2021,17086.25,39891.51,4,3.35,3.95,2,75.1082
,26-Dec-2021,wh,wh,wh,wh,wh,wh,wh
,25-Dec-2021,,,4,3.35,,,
,24-Dec-2021,17003.75,39597.78,4,3.35,3.8,2,75.1462
,23-Dec-2021,17072.6,39991.97,4,3.35,3.9,2,75.3481
,22-Dec-2021,16955.45,39784.66,4,3.35,3.75,2,75.5947
,21-Dec-2021,16770.85,39312.54,4,3.35,4,1.5,75.5925
,20-Dec-2021,16614.2,39189.74,4,3.35,3.99,2,75.9865
,19-Dec-2021,wh,wh,wh,wh,wh,wh,wh
,18-Dec-2021,,,4,3.35,3.5,2.7,
,17-Dec-2021,16985.2,40487.86,4,3.35,4,2.7,76.1733
,16-Dec-2021,17248.4,41579.01,4,3.35,4.5,2,76.2528
,15-Dec-2021,17221.4,41864.15,4,3.35,3.6,2,76.0433
,14-Dec-2021,17324.9,41919.43,4,3.35,3.45,2,75.8985
,13-Dec-2021,17368.25,41956.49,4,3.35,3.5,2,75.706
,12-Dec-2021,wh,wh,wh,wh,wh,wh,wh
,11-Dec-2021,,,4,3.35,,,
,10-Dec-2021,17511.3,42122.49,4,3.35,3.45,2,75.7189
,09-Dec-2021,17516.85,42157.76,4,3.35,3.45,2,75.4992
,08-Dec-2021,17469.75,42380.35,4,3.35,3.55,2,75.4733
,07-Dec-2021,17176.7,41706.92,4,3.35,3.5,2,75.3532
,06-Dec-2021,16912.25,40672.9,4,3.35,3.45,2,75.2978
,05-Dec-2021,wh,wh,wh,wh,wh,wh,wh
,04-Dec-2021,,,4,3.35,3.25,2.7,
,03-Dec-2021,17196.7,41192.08,4,3.35,3.18,2.7,74.9852
,02-Dec-2021,17401.65,41607.48,4,3.35,,,74.9989
,01-Dec-2021,17166.9,41496.31,4,3.35,3.5,2,74.9163
,30-Nov-2021,16983.2,40779.11,4,3.35,3.65,2,75.0885
,29-Nov-2021,17053.95,41129.26,4,3.35,3.45,2,75.091
,28-Nov-2021,wh,wh,wh,wh,wh,wh,wh
,27-Nov-2021,,,4,3.35,,,
,26-Nov-2021,17026.45,41117.95,4,3.35,3.55,2,74.7148
,25-Nov-2021,17536.25,42630.51,4,3.35,3.5,2,74.5068
,24-Nov-2021,17415.05,42720.97,4,3.35,3.55,2,74.4063
,23-Nov-2021,17503.35,42496.54,4,3.35,3.75,2,74.5042
,22-Nov-2021,17416.55,42337.47,4,3.35,4,2,74.3836
,21-Nov-2021,wh,wh,wh,wh,wh,wh,wh
,20-Nov-2021,,,4,3.35,3.9,2.7,
,19-Nov-2021,,,4,3.35,,,
,18-Nov-2021,17764.8,43323.75,4,3.35,3.5,2.7,74.1552
,17-Nov-2021,17898.65,43434.76,4,3.35,3.4,2.2,74.3753
,16-Nov-2021,17999.2,43779.22,4,3.35,3.4,2.2,74.4535
,15-Nov-2021,18109.45,44220.41,4,3.35,3.4,2,74.3548
,14-Nov-2021,wh,wh,wh,wh,wh,wh,wh
,13-Nov-2021,,,4,3.35,,,
,12-Nov-2021,18102.75,44235.06,4,3.35,3.5,2,74.4694
,11-Nov-2021,17873.6,44049.68,4,3.35,3.5,2,74.4749
,10-Nov-2021,18017.2,44578.93,4,3.35,3.5,2,74.1659
,09-Nov-2021,18044.25,44945.11,4,3.35,3.5,2,73.9191
,08-Nov-2021,18068.55,45069.52,4,3.35,3.45,2,74.1106
,07-Nov-2021,wh,wh,wh,wh,wh,wh,wh
,06-Nov-2021,,,4,3.35,4,2.6,
,05-Nov-2021,,,4,3.35,,,
,04-Nov-2021,17916.8,45146.11,4,3.35,,,
,03-Nov-2021,17829.2,44936.95,4,3.35,3.45,2.7,74.5684
,02-Nov-2021,17888.95,45538.05,4,3.35,3.5,2,74.7616
,01-Nov-2021,17929.65,45417.69,4,3.35,3.55,2,74.9298
,31-Oct-2021,wh,wh,wh,wh,wh,wh,wh
,30-Oct-2021,,,4,3.35,3.45,2.7,
,29-Oct-2021,17671.65,44650.66,4,3.35,3.18,2.5,74.7858
,28-Oct-2021,17857.25,45154.42,4,3.35,3.5,2,74.8216
,27-Oct-2021,18210.95,46724.26,4,3.35,3.5,2,74.9519
,26-Oct-2021,18268.4,47252.3,4,3.35,3.65,2,75.1167
,25-Oct-2021,18125.4,47165.55,4,3.35,3.5,2,75.0191
,24-Oct-2021,wh,wh,wh,wh,wh,wh,wh
,23-Oct-2021,,,4,3.35,,,
,22-Oct-2021,18114.9,46105.17,4,3.35,3.6,2,74.7836
,21-Oct-2021,18178.1,45767.67,4,3.35,3.45,2,74.7635
,20-Oct-2021,18266.6,44997.32,4,3.35,3.45,2,75.0507
,19-Oct-2021,18418.75,45019.17,4,3.35,0,0,
,18-Oct-2021,18477.05,45142.6,4,3.35,3.5,1.95,75.3434
,17-Oct-2021,wh,wh,wh,wh,wh,wh,wh
,16-Oct-2021,,,4,3.35,3.45,2.25,
,15-Oct-2021,,,4,3.35,,,
,14-Oct-2021,18338.55,44759.59,4,3.35,3.4,2.7,75.3039
,13-Oct-2021,18161.75,44022.5,4,3.35,,,75.4576
,12-Oct-2021,17991.95,43916.04,4,3.35,3.45,1.95,75.3424
,11-Oct-2021,17945.95,43635.23,4,3.35,3.4,1.95,75.1283
,10-Oct-2021,wh,wh,wh,wh,wh,wh,wh
,09-Oct-2021,,,4,3.35,,,
,08-Oct-2021,17895.2,43003.94,4,3.35,3.45,1.95,74.994
,07-Oct-2021,17790.35,43009.54,4,3.35,3.4,1.95,74.8607
,06-Oct-2021,17646,42777.59,4,3.35,3.4,1.95,74.6292
,05-Oct-2021,17822.3,43051.17,4,3.35,3.4,1.95,74.5307
,04-Oct-2021,17691.25,42895.07,4,3.35,3.4,1.95,74.2429
,03-Oct-2021,wh,wh,wh,wh,wh,wh,wh
,02-Oct-2021,,,4,3.35,,,
,01-Oct-2021,17532.05,42507.48,4,3.35,3.45,1.95,74.2644
,30-Sep-2021,17618.15,42727.61,4,3.35,3.55,1.95,74.2551
,29-Sep-2021,17711.3,43154.82,4,3.35,3.45,1.95,74.153
,28-Sep-2021,17748.6,43388.12,4,3.35,3.5,1.95,73.7746
,27-Sep-2021,17855.1,43583.71,4,3.35,3.45,1.95,73.6567
,26-Sep-2021,wh,wh,wh,wh,wh,wh,wh
,25-Sep-2021,,,4,3.35,,,
,24-Sep-2021,17853.2,43245.49,4,3.35,3.4,2.1,73.6935
,23-Sep-2021,17822.95,43271.69,4,3.35,3.4,1.95,73.7261
,22-Sep-2021,17546.65,42315.01,4,3.35,3.4,1.95,73.8026
,21-Sep-2021,17562,42636.25,4,3.35,3.45,1.95,73.5907
,20-Sep-2021,17396.9,42544.88,4,3.35,3.45,1.95,73.6459
,19-Sep-2021,wh,wh,wh,wh,wh,wh,wh
,18-Sep-2021,,,4,3.35,3.25,2.7,
,17-Sep-2021,17585.15,43262.12,4,3.35,3.25,2.7,73.4927
,16-Sep-2021,17629.5,42962.49,4,3.35,3.4,1.95,73.4311
,15-Sep-2021,17519.45,42069.85,4,3.35,3.4,1.95,73.6712
,14-Sep-2021,17380,41815.57,4,3.35,3.4,1.95,73.6214
,13-Sep-2021,17355.3,41605.92,4,3.35,3.4,1.95,73.635
,12-Sep-2021,wh,wh,wh,wh,wh,wh,wh
,11-Sep-2021,,,4,3.35,,,
,10-Sep-2021,,,4,3.35,,,
,09-Sep-2021,17369.25,41814.36,4,3.35,3.4,1.95,73.6887
,08-Sep-2021,17353.5,41919.24,4,3.35,3.4,1.95,73.6519
,07-Sep-2021,17362.1,41495.72,4,3.35,3.4,1.95,73.2814
,06-Sep-2021,17377.8,41707.14,4,3.35,3.4,1.95,73.0589
,05-Sep-2021,wh,wh,wh,wh,wh,wh,wh
,04-Sep-2021,,,4,3.35,3.25,2.7,
,03-Sep-2021,17323.6,41882.05,4,3.35,3,2.7,73.0651
,02-Sep-2021,17234.15,41948.9,4,3.35,3.4,1.95,72.9771
,01-Sep-2021,17076.25,41615.78,4,3.35,3.4,1.95,72.9589
,31-Aug-2021,17132.2,41469.62,4,3.35,3.4,2,73.1536
,30-Aug-2021,16931.05,41313.1,4,3.35,3.4,1.95,73.5007
,29-Aug-2021,wh,wh,wh,wh,wh,wh,wh
,28-Aug-2021,,,4,3.35,,,
,27-Aug-2021,16705.2,40478.86,4,3.35,3.4,1.95,74.1332
,26-Aug-2021,16636.9,40382.03,4,3.35,3.4,1.95,74.2578
,25-Aug-2021,16634.65,40323.88,4,3.35,3.4,1.95,74.2992
,24-Aug-2021,16624.6,40484.89,4,3.35,3.4,1.95,74.1379
,23-Aug-2021,16496.45,39907.3,4,3.35,3.4,1.95,74.2765
,22-Aug-2021,wh,wh,wh,wh,wh,wh,wh
,21-Aug-2021,,,4,3.35,3,2.6,
,20-Aug-2021,16450.5,39799.88,4,3.35,3.4,2.6,74.4275
,19-Aug-2021,,,4,3.35,0,0,
,18-Aug-2021,16568.85,40455.31,4,3.35,3.4,1.9,74.3002
,17-Aug-2021,16614.6,40846.9,4,3.35,3.4,1.9,74.2856
,16-Aug-2021,16563.05,,4,3.35,0,0,
,15-Aug-2021,wh,wh,wh,wh,wh,wh,wh
,14-Aug-2021,,,4,3.35,,,
,13-Aug-2021,16529.1,,4,3.35,3.45,1.9,74.2971
,12-Aug-2021,16364.4,,4,3.35,3.4,1.9,74.2816
,11-Aug-2021,16282.25,40771.83,4,3.35,3.4,1.9,74.4276
,10-Aug-2021,16280.1,41070.02,4,3.35,3.4,1.9,74.3855
,09-Aug-2021,16258.25,40993.51,4,3.35,3.4,1.9,74.2261
,08-Aug-2021,wh,wh,wh,wh,wh,wh,wh
,07-Aug-2021,,,4,3.35,3.25,2.7,
,06-Aug-2021,16238.2,40731.26,4,3.35,3.4,2.7,74.1888
,05-Aug-2021,16294.6,40801.27,4,3.35,3.4,1.9,74.2644
,04-Aug-2021,16258.8,41014.53,4,3.35,3.4,1.9,74.1493
,03-Aug-2021,16130.75,39973.58,4,3.35,3.4,1.9,74.2957
,02-Aug-2021,15885.15,39359.44,4,3.35,3.4,1.9,74.4035
,01-Aug-2021,wh,wh,wh,wh,wh,wh,wh
,31-Jul-2021,,,4,3.35,3.6,2.7,
,30-Jul-2021,15763.05,39190.11,4,3.35,3.4,2.5,74.3871
,29-Jul-2021,15778.45,39331.64,4,3.35,3.4,1.9,74.2822
,28-Jul-2021,15709.4,39194.52,4,3.35,3.4,1.9,74.435
,27-Jul-2021,15746.45,39513.4,4,3.35,3.4,1.9,74.416
,26-Jul-2021,15824.45,39779.9,4,3.35,3.4,1.9,74.4578
,25-Jul-2021,wh,wh,wh,wh,wh,wh,wh
,24-Jul-2021,,,4,3.35,,,
,23-Jul-2021,15856.05,39832.64,4,3.35,3.4,1.9,74.4262
,22-Jul-2021,15824.05,39361.94,4,3.35,3.4,1.9,74.3679
,21-Jul-2021,,,4,3.35,0,0,
,20-Jul-2021,15632.1,39074.51,4,3.35,3.45,1.9,74.8596
,19-Jul-2021,15752.4,39788.05,4,3.35,3.4,1.9,74.7902
,18-Jul-2021,wh,wh,wh,wh,wh,wh,wh
,17-Jul-2021,,,4,3.35,3.4,2.7,
,16-Jul-2021,15923.4,40499.65,4,3.35,3.4,2.7,74.6232
,15-Jul-2021,15924.2,40688.86,4,3.35,3.4,1.9,74.5187
,14-Jul-2021,15853.95,40431.31,4,3.35,3.4,1.9,74.5708
,13-Jul-2021,15812.35,40433.47,4,3.35,3.4,1.9,74.4884
,12-Jul-2021,15692.6,39870.63,4,3.35,3.4,1.9,74.466
,11-Jul-2021,wh,wh,wh,wh,wh,wh,wh
,10-Jul-2021,,,4,3.35,,,
,09-Jul-2021,15689.8,39668.64,4,3.35,3.4,1.9,74.6446
,08-Jul-2021,15727.9,39909.51,4,3.35,3.4,1.9,74.6979
,07-Jul-2021,15879.65,40472.32,4,3.35,3.4,1.9,74.7438
,06-Jul-2021,15818.25,40281.21,4,3.35,3.4,1.9,74.3289
,05-Jul-2021,15834.35,39898.13,4,3.35,3.4,1.9,74.393
,04-Jul-2021,wh,wh,wh,wh,wh,wh,wh
,03-Jul-2021,,,4,3.35,3.3,2.7,
,02-Jul-2021,15722.2,39451.42,4,3.35,3.25,2.7,74.7747
,01-Jul-2021,15680,39269.11,4,3.35,3.4,1.9,74.3943
,30-Jun-2021,15721.5,39349.98,4,3.35,3.5,1.9,74.3456
,29-Jun-2021,15748.45,39593.03,4,3.35,3.4,1.9,74.2183
,28-Jun-2021,15814.7,40017.63,4,3.35,3.4,1.9,74.2023
,27-Jun-2021,wh,wh,wh,wh,wh,wh,wh
,26-Jun-2021,,,4,3.35,,,
,25-Jun-2021,15860.35,40026.43,4,3.35,3.4,1.9,74.179
,24-Jun-2021,15790.45,39427.3,4,3.35,3.4,1.9,74.2362
,23-Jun-2021,15686.95,39129.74,4,3.35,3.5,1.9,74.3737
,22-Jun-2021,15772.75,39373.66,4,3.35,3.45,1.9,74.13
,21-Jun-2021,15746.5,39499.93,4,3.35,3.45,1.9,74.1522
,20-Jun-2021,wh,wh,wh,wh,wh,wh,wh
,19-Jun-2021,,,4,3.35,3.35,2.6,
,18-Jun-2021,15683.35,39177.92,4,3.35,3.05,2.7,74.1442
,17-Jun-2021,15691.4,39266.18,4,3.35,3.45,1.9,73.731
,16-Jun-2021,15767.55,39675.91,4,3.35,3.45,1.9,73.3703
,15-Jun-2021,15869.25,39930.73,4,3.35,3.45,1.9,73.2765
,14-Jun-2021,15811.85,39572.29,4,3.35,3.4,1.9,73.1893
,13-Jun-2021,wh,wh,wh,wh,wh,wh,wh
,12-Jun-2021,,,4,3.35,,,
,11-Jun-2021,15799.35,39731.36,4,3.35,3.4,1.9,72.9844
,10-Jun-2021,15737.75,39874.25,4,3.35,3.4,1.9,72.9947
,09-Jun-2021,15635.35,39482.73,4,3.35,3.4,1.9,72.9769
,08-Jun-2021,15740.1,39846.48,4,3.35,3.4,1.9,72.8419
,07-Jun-2021,15751.65,40231.49,4,3.35,,,72.8087
,06-Jun-2021,wh,wh,wh,wh,wh,wh,wh
,05-Jun-2021,,,4,3.35,3.7,2.6,
,04-Jun-2021,15670.25,40035.31,4,3.35,3.05,2.7,73.0266
,03-Jun-2021,15690.35,40419.3,4,3.35,3.4,1.9,73.1197
,02-Jun-2021,15576.2,40057.48,4,3.35,3.45,1.9,73.2088
,01-Jun-2021,15574.85,40120.9,4,3.35,3.45,1.9,72.7714
,31-May-2021,15582.8,40344.68,4,3.35,3.5,1.9,72.5211
,30-May-2021,wh,wh,wh,wh,wh,wh,wh
,29-May-2021,,,4,3.35,,,
,28-May-2021,15435.65,39863.48,4,3.35,3.05,2.7,72.4767
,27-May-2021,15337.85,39856.64,4,3.35,3.4,1.9,72.6404
,26-May-2021,15301.45,39387.26,4,3.35,0,0,
,25-May-2021,15208.45,39348.83,4,3.35,3.45,1.9,72.8045
,24-May-2021,15197.7,39626.57,4,3.35,3.5,1.9,72.8961
,23-May-2021,wh,wh,wh,wh,wh,wh,wh
,22-May-2021,,,4,3.35,,,
,21-May-2021,15175.3,39285.58,4,3.35,3.45,1.9,73.0233
,20-May-2021,14906.05,37872.23,4,3.35,3.45,1.9,73.1168
,19-May-2021,15030.15,38255.23,4,3.35,3.45,1.9,72.967
,18-May-2021,15108.1,38528.89,4,3.35,3.4,1.9,73.0353
,17-May-2021,14923.15,38058.27,4,3.35,3.45,1.9,73.2423
,16-May-2021,wh,wh,wh,wh,wh,wh,wh
,15-May-2021,,,4,3.35,3.5,2.6,
,14-May-2021,14677.8,36599.91,4,3.35,3,2.6,73.3721
,13-May-2021,,,4,3.35,0,0,
,12-May-2021,14696.5,36899.57,4,3.35,3.5,1.9,73.4389
,11-May-2021,14850.75,37437.34,4,3.35,3.5,1.9,73.4518
,10-May-2021,14942.35,37823.66,4,3.35,3.5,1.9,73.4135
,09-May-2021,wh,wh,wh,wh,wh,wh,wh
,08-May-2021,,,4,3.35,,,
,07-May-2021,14823.15,37516.19,4,3.35,3.5,1.9,73.7443
,06-May-2021,14724.8,37454.23,4,3.35,3.5,1.9,73.9406
,05-May-2021,14617.85,37370.57,4,3.35,3.5,1.9,73.9666
,04-May-2021,14496.5,36758.38,4,3.35,3.5,1.9,73.8546
,03-May-2021,14634.15,36970.27,4,3.35,3.5,1.9,74.1812
,02-May-2021,wh,wh,wh,wh,wh,wh,wh
,01-May-2021,,,4,3.35,,,
,30-Apr-2021,14631.1,37304.97,4,3.35,3.5,1.9,74.0232
,29-Apr-2021,14894.9,38302.37,4,3.35,3.5,1.9,74.0573
,28-Apr-2021,14864.55,38273.65,4,3.35,3.5,1.9,74.4042
,27-Apr-2021,14653.05,37157.83,4,3.35,3.5,1.9,74.5993
,26-Apr-2021,14485,36732.55,4,3.35,3.5,1.9,74.7672
,25-Apr-2021,wh,wh,wh,wh,wh,wh,wh
,24-Apr-2021,,,4,3.35,,,
,23-Apr-2021,14341.35,36023.82,4,3.35,3.5,1.9,74.9144
,22-Apr-2021,14406.15,36054.77,4,3.35,3.5,1.9,74.9404
,21-Apr-2021,,,4,3.35,0,0,
,20-Apr-2021,14296.4,35300.2,4,3.35,3.5,1.9,74.7296
,19-Apr-2021,14359.45,35399.99,4,3.35,3.5,1.9,74.8847
,18-Apr-2021,wh,wh,wh,wh,wh,wh,wh
,17-Apr-2021,,,4,3.35,3,2.6,
,16-Apr-2021,14617.85,36287.32,4,3.35,3.09,2.4,74.5607
,15-Apr-2021,14581.45,36473.15,4,3.35,3.5,1.9,75.1699
,14-Apr-2021,,,4,3.35,0,0,
,13-Apr-2021,14504.8,36088.53,4,3.35,,,
,12-Apr-2021,14310.8,34967.83,4,3.35,3.5,1.9,74.8525
,11-Apr-2021,wh,wh,wh,wh,wh,wh,wh
,10-Apr-2021,,,4,3.35,,,
,09-Apr-2021,14834.85,36770.43,4,3.35,3.5,1.9,74.8899
,08-Apr-2021,14873.8,37075.25,4,3.35,3.5,1.9,74.37
,07-Apr-2021,14819.05,37302.34,4,3.35,3.5,1.9,74.1172
,06-Apr-2021,14683.5,36725.67,4,3.35,3.5,2.1,73.3141
,05-Apr-2021,14637.8,36912.87,4,3.35,3.5,1.9,73.433
,04-Apr-2021,wh,wh,wh,wh,wh,wh,wh
,03-Apr-2021,,,4,3.35,3.35,2.6,
,02-Apr-2021,,,4,3.35,,,
,01-Apr-2021,14867.35,38239.36,4,3.35,0,0,
,31-Mar-2021,14690.7,37547.91,4,3.35,3.5,2.75,73.5047
,30-Mar-2021,14845.1,38093.29,4,3.35,3.5,1.9,73.0407
,29-Mar-2021,,,4,3.35,0,0,
,28-Mar-2021,wh,wh,wh,wh,wh,wh,wh
,27-Mar-2021,,,4,3.35,,,
,26-Mar-2021,14507.3,37527.83,4,3.35,3.5,1.9,72.4046
,25-Mar-2021,14324.9,37201.49,4,3.35,3.5,1.9,72.6102
,24-Mar-2021,14549.4,37490.68,4,3.35,3.6,1.9,72.6558
,23-Mar-2021,14814.75,38462.48,4,3.35,3.5,1.9,72.2928
,22-Mar-2021,14736.4,37889.55,4,3.35,3.5,1.9,72.3772
,21-Mar-2021,wh,wh,wh,wh,wh,wh,wh
,20-Mar-2021,,,4,3.35,3.2,2.6,
,19-Mar-2021,14744,38468.53,4,3.35,3,2.6,72.5155
,18-Mar-2021,14557.85,38136.19,4,3.35,3.5,1.9,72.5248
,17-Mar-2021,14721.3,38602.27,4,3.35,3.5,2.1,72.5716
,16-Mar-2021,14910.45,39222.44,4,3.35,3.5,1.9,72.4811
,15-Mar-2021,14929.5,39630.01,4,3.35,3.5,1.9,72.7097
,14-Mar-2021,wh,wh,wh,wh,wh,wh,wh
,13-Mar-2021,,,4,3.35,,,
,12-Mar-2021,15030.95,39995.58,4,3.35,3.5,1.9,72.6845
,11-Mar-2021,,,4,3.35,0,0,
,10-Mar-2021,15174.8,40514.3,4,3.35,3.5,1.9,72.9737
,09-Mar-2021,15098.4,40457.22,4,3.35,3.4,1.9,73.1181
,08-Mar-2021,14956.2,39713.81,4,3.35,3.4,1.9,73.0023
,07-Mar-2021,wh,wh,wh,wh,wh,wh,wh
,06-Mar-2021,,,4,3.35,3.4,2.55,
,05-Mar-2021,14938.1,39692.34,4,3.35,3,2.55,72.7572
,04-Mar-2021,15080.75,40238.79,4,3.35,3.5,1.9,72.7126
,03-Mar-2021,15245.6,40830.81,4,3.35,,,73.0662
,02-Mar-2021,14919.1,39736.16,4,3.35,3.5,1.9,73.3507
,01-Mar-2021,14761.55,39616.41,4,3.35,3.5,1.9,73.2948
,28-Feb-2021,wh,wh,wh,wh,wh,wh,wh
,27-Feb-2021,,,4,3.35,,,
,26-Feb-2021,14529.15,38981.16,4,3.35,3.5,1.9,73.0408
,25-Feb-2021,15097.35,40977,4,3.35,3.5,1.9,72.4953
,24-Feb-2021,14982,40959.24,4,3.35,3.5,1.9,72.2923
,23-Feb-2021,14707.8,39496.36,4,3.35,,,72.3707
,22-Feb-2021,14675.7,39712.46,4,3.35,3.5,1.9,72.3664
,21-Feb-2021,wh,wh,wh,wh,wh,wh,wh
,20-Feb-2021,,,4,3.35,3.75,2.4,
,19-Feb-2021,14981.75,40333.67,4,3.35,,,
,18-Feb-2021,15118.95,41183.14,4,3.35,3.11,2.55,72.7327
,17-Feb-2021,15208.9,41671.51,4,3.35,3.5,1.9,72.8359
,16-Feb-2021,15313.45,41964.06,4,3.35,3.5,1.9,72.7219
,15-Feb-2021,15314.7,42187.14,4,3.35,3.5,1.9,72.5906
,14-Feb-2021,wh,wh,wh,wh,wh,wh,wh
,13-Feb-2021,,,4,3.35,,,
,12-Feb-2021,15163.3,40835.9,4,3.35,3.5,1.9,72.7998
,11-Feb-2021,15173.3,40435.3,4,3.35,3.5,1.9,72.7772
,10-Feb-2021,15106.5,40460.83,4,3.35,3.5,1.9,72.8458
,09-Feb-2021,15109.3,40724.81,4,3.35,3.5,1.9,72.8883
,08-Feb-2021,15115.8,40661.42,4,3.35,3.5,1.9,72.8623
,07-Feb-2021,wh,wh,wh,wh,wh,wh,wh
,06-Feb-2021,,,4,3.35,3.55,2.5,
,05-Feb-2021,14924.25,40301.81,4,3.35,3.5,2.5,72.8986
,04-Feb-2021,14895.65,39941.18,4,3.35,3.55,1.9,72.9152
,03-Feb-2021,14789.95,39310.1,4,3.35,3.55,1.9,72.9396
,02-Feb-2021,14647.85,38833.38,4,3.35,3.55,1.9,72.9805
,01-Feb-2021,14281.2,37549.19,4,3.35,3.55,1.9,73.0189
,31-Jan-2021,wh,wh,wh,wh,wh,wh,wh
,30-Jan-2021,,,4,3.35,3.48,2.5,
,29-Jan-2021,13634.6,34662.51,4,3.35,3.5,2.5,72.9519
,28-Jan-2021,13817.55,34433.26,4,3.35,3.5,1.9,73.0674
,27-Jan-2021,13967.5,34334.8,4,3.35,3.5,1.9,72.8176
,26-Jan-2021,,,4,3.35,0,0,
,25-Jan-2021,14238.9,35370.57,4,3.35,3.5,1.9,72.9297
,24-Jan-2021,wh,wh,wh,wh,wh,wh,wh
,23-Jan-2021,,,4,3.35,,,
,22-Jan-2021,14371.9,35379.59,4,3.35,3.5,1.9,73.038
,21-Jan-2021,14590.35,36485.54,4,3.35,3.5,1.9,72.9735
,20-Jan-2021,14644.7,36836.73,4,3.35,3.5,1.9,73.1251
,19-Jan-2021,14521.15,36730.19,4,3.35,3.5,1.9,73.1803
,18-Jan-2021,14281.3,36027.8,4,3.35,3.5,1.9,
,17-Jan-2021,wh,wh,wh,wh,wh,wh,wh
,16-Jan-2021,,,4,3.35,3.4,2.45,
,15-Jan-2021,14433.7,36540.47,4,3.35,3.4,2.5,73.0243
,14-Jan-2021,14595.6,36904.03,4,3.35,3.5,1.9,73.1226
,13-Jan-2021,14564.85,36976.16,4,3.35,3.5,1.9,73.1546
,12-Jan-2021,14563.45,36750.76,4,3.35,3.5,1.9,73.3725
,11-Jan-2021,14484.75,36522.98,4,3.35,3.5,1.9,73.4511
,10-Jan-2021,wh,wh,wh,wh,wh,wh,wh
,09-Jan-2021,,,4,3.35,,,
,08-Jan-2021,14347.25,36658.77,4,3.35,3.5,1.9,73.3344
,07-Jan-2021,14137.35,36491.77,4,3.35,3.5,1.9,73.133
,06-Jan-2021,14146.25,36396.92,4,3.35,3.5,1.9,73.139
,05-Jan-2021,14199.5,36274.81,4,3.35,3.5,1.9,73.1086
,04-Jan-2021,14132.9,35745.18,4,3.35,3.75,1.9,73.0115
,03-Jan-2021,wh,wh,wh,wh,wh,wh,wh
,02-Jan-2021,,,4,3.35,3.25,2.5,
,01-Jan-2021,14018.5,35798.5,4,3.35,3.35,2.5,73.0328
,31-Dec-2020,13981.75,35888.42,4,3.35,3.6,1.9,73.0536
,30-Dec-2020,13981.95,35947.16,4,3.35,3.5,1.9,73.2839
,29-Dec-2020,13932.6,35948.79,4,3.35,3.5,1.9,73.3669
,28-Dec-2020,13873.2,35448.83,4,3.35,3.5,1.9,73.5886
,27-Dec-2020,wh,wh,wh,wh,wh,wh,wh
,26-Dec-2020,,,4,3.35,,,
,25-Dec-2020,,,4,3.35,,,
,24-Dec-2020,13749.25,34926.54,4,3.35,3.5,1.9,73.5838
,23-Dec-2020,13601.1,34318.15,4,3.35,3.5,1.9,73.8132
,22-Dec-2020,13466.3,34010.36,4,3.35,3.5,1.9,73.8879
,21-Dec-2020,13328.4,33839.46,4,3.35,3.5,1.9,73.6498
,20-Dec-2020,wh,wh,wh,wh,wh,wh,wh
,19-Dec-2020,,,4,3.35,3.9,2.5,
,18-Dec-2020,13760.55,35194.25,4,3.35,3.4,2.5,73.5146
,17-Dec-2020,13740.7,35304.68,4,3.35,,,73.4336
,16-Dec-2020,13682.7,35167.57,4,3.35,3.45,1.9,73.5209
,15-Dec-2020,13567.85,35158.55,4,3.35,3.5,1.9,73.6532
,14-Dec-2020,13558.15,35240.6,4,3.35,3.5,1.9,73.5417
,13-Dec-2020,wh,wh,wh,wh,wh,wh,wh
,12-Dec-2020,,,4,3.35,,,
,11-Dec-2020,13513.85,35025.59,4,3.35,3.5,1.9,73.5914
,10-Dec-2020,13478.3,34879.46,4,3.35,3.5,1.9,73.6684
,09-Dec-2020,13529.1,35038.23,4,3.35,3.5,1.9,73.5882
,08-Dec-2020,13392.95,34531.26,4,3.35,3.5,1.9,73.7613
,07-Dec-2020,13355.75,34522.58,4,3.35,3.4,1.9,73.7657
,06-Dec-2020,wh,wh,wh,wh,wh,wh,wh
,05-Dec-2020,,,4,3.35,3.45,2.5,
,04-Dec-2020,13258.55,34360.12,4,3.35,3.1,2.5,73.7413
,03-Dec-2020,13133.9,33640.19,4,3.35,3.4,1.9,73.8938
,02-Dec-2020,13113.75,33656.25,4,3.35,3.4,1.9,73.6501
,01-Dec-2020,13109.05,34097.7,4,3.35,3.4,1.9,73.5083
,30-Nov-2020,,,4,3.35,0,0,
,29-Nov-2020,wh,wh,wh,wh,wh,wh,wh
,28-Nov-2020,,,4,3.35,,,
,27-Nov-2020,12968.95,33884.04,4,3.35,3.4,1.9,73.7983
,26-Nov-2020,12987,33843.58,4,3.35,3.4,1.9,73.8262
,25-Nov-2020,12858.4,33456.68,4,3.35,3.4,1.9,73.9762
